KeyName,English (EN),Brazilian Portuguese (BR),Brazilian HUE (HUE),Russian (RU),Japanese (JP),German (DE),French (FR),Español (ES),Czech (CZ),Korean (KR),Dutch (NL),Italian (IT),Tranditional Chinese (CHT),Simplified Chinese (CHN),"Indonesian
"
ASS_LEVEL1_1,I should probably have told you about these armed thugs around the Asteroid.,Acho que tinha que ter te contado sobre os capangas armados no Asteróide.,VACILEI ERA PRA TER FALADO DOS BIXO NO ASTERODE,I should probably have told you about these armed thugs around the Asteroid.,しょうわくせいのまわりにいる ぶそうきょうあくはんのことを あなたにいったはずですよ,"Ach ja, hier wimmelt es nur so von bewaffneten Biestern. Hups, zu spät.",J'aurais probablement dû vous prévenir à propos de ces voyous armés autour de l'astéroïde.,Probablemente debería haberte hablado de estos matones armados en todo el asteroide.,Pravděpodobně bych ti měl říct o těch ozbrojených lupičích na asteroidu,난 소행성 주위에 얼쩡대는 이 무장한 무뢰배 녀석들에 대해 자네에게 말해줬었지. ,Ik zou je misschien moeten hebben verteld over deze gewapende barbaren rond de Astroïde.,Avrei dovuto avvisarti di questi teppisti armati attorno all'Asteroide.,,,
ASS_LEVEL1_2,"Was that a duck? These are not just thugs. They are Ducans, after our relics.","Um pato? Esses não são só capangas. São Ducans, atrás das nossas relíquias.","Um pato? Esses não são só capangas. São Ducans, atrás das nossas relíquias.","Was that a duck? These are not just thugs. They are Ducans, after our relics.",アヒル? ただのチンピラでは ありません。 かれらは わたしたちの いぶつをさがす Ducansです,"War das eine Ente? Pass' gut auf, das sind Ducans und sie wollen unsere Reliquien.",Etait-ce un canard? Ce ne sont pas seulement des voyous. Ce sont des Ducans qui en veulent à nos reliques.,"¿Era un pato? Estos no son sólo matones. Son Ducans, van tras nuestras reliquias.","Byla to kachna ? to nejsou obyčejní zloději to jsou Ducanové, chtějí naše relikvie",오리냐고? 평범한 무뢰배들은 아니지. 그들은 Ducan이라네. 우리 유물들을 뒤쫒은 녀석들이지.,"Was dat een eend? Dit zijn niet zomaar barbaren. Het zijn Ducans, op zoek naar onze relics.","Era una papera? Non sono soltanto teppisti. Sono Ducans, alla ricerca delle nostre reliquie.",,,
ASS_LEVEL1_3,It seems local wildlife is not very friendly. Glad you found that out first.,Parece que a fauna local não é muito amigável. Bom que você descobriu primeiro.,OS BIXO É LOKO AQUI. INDA BEM QUE CE FOI O FRENTE.,It seems local wildlife is not very friendly. Glad you found that out first.,このちいきの やせいどうぶつは ゆうこうてきでは ないようです。 さいしょにみつけたのが あなたでよかった,"Die sind aber unfreundlich. Gut, dass du das für uns in Erfahrung gebracht hast.",Il semblerait que la faune locale ne soit pas très sympathique. Content que vous vous en soyez rendu compte le premier.,Parece que la fauna local no es muy amable. Me alegro de que lo hayas descubierto primero.,"Vypadá to že místní příroda není uplně přátelská, ještě že jsi to našel",이곳 야생 동물들은 그다지 우호적으로 보이진 않구만.. 자네가 나보다 먼저 알게 되서 다행이야.,Het lijkt alsof de locale natuur niet zo vriendelijk is. Ik ben blij dat jij dat als eerste hebt ontdekt.,Sembra che la fauna locale non sia così amichevole. Sono felice che l'hai scoperto subito.,,似乎这里的野生动物不太友善。很高兴你首先发现了这点。,
ASS_LEVEL2_1,"If we take out the Ducan Commander, they will flee from the Asteroid. Probably.","Se eliminarmos o Comandante Ducan, eles vão fugir do planeta. Provavelmente.","Se eliminarmos o Comandante Ducan, eles irão fugir do planeta. Provavelmente.","If we take out the Ducan Commander, they will flee from the Asteroid. Probably.",わたしたちが Ducan Commanderをたおせば、 かれらはしょうわくせいから にげだすでしょう。 たぶんね,"Beseitigen wir den Ducan-Commander, fliehen die anderen vom Asteroiden.","Si nous éliminons le Commandant Ducan, ils fuiront l'astéroïde. Probablement.","Si acabamos con el Comandante Ducan, huirán del asteroide. Probablemente.","Když vyženem velitele Ducana z asteroidu, odletí s ním i ostatní, nejspíš..",만약 우리가 Ducan 사령관을 쓰러트리면 놈들은 아마 소행성에서 도망쳐버리겠지? 아마도.,"Als we de Ducan Commandant wegnemen, zullen ze van de Astroïde wegvluchten. Misschien.","Se riusciamo a sconfiggere il Comandante Ducan, fuggiranno dall'Asteroide. Probabilmente.",,如果我们打倒了Ducan Commander，他们会从这个行星上溃逃的。大概。,
ASS_LEVEL2_2,I’ve heard rumors about the Ducan Commander hanging out around Stage 4...,Ouvi rumores de que o Comandante Ducan está passeando pela Fase 4...,Ouvi rumores de que o Comandante Ducan está passeando pela Fase 4...,I’ve heard rumors about the Ducan Commander hanging out around Stage 4...,Ducan Commanderが ステージ4にいる といううわさを ききました…,"Gerüchten nach, ist der Ducan-Commander in Level 4...",J'ai entendu des rumeurs qui disent que le Commandant Ducan traîne dans les alentours du Niveau 4.,He oído rumores sobre que el Comandante Ducan sale en la fase 4 ...,"Slyšel jsem zvěsti že velitel Ducan je na asteroidu 4 !
",Ducan 사령관이 스테이지 4에서 산책 중이라는 소문을 들었네.,Ik heb geruchten gehoord dat de Ducan Commandant rond Niveau 4 rondhangt.,Ho sentito delle indiscrezioni che il Comandante Ducan stia bazzicando nel Livello 4...,,我听到传闻说Ducan Commander在第四关那里闲荡着。,
ASS_LEVEL2_3,You can’t face the Commander without serious firepower and some relics.,Você não pode enfrentar o Comandante sem poder de fogo sério e umas relíquias.,Você não pode enfrentar o Comandante sem poder de fogo sério e umas relíquias.,You can’t face the Commander without serious firepower and some relics.,ぜつだいなかりょくと いぶつなしに Commanderをたおすことは できません,Du kannst dem Commander nur mit viel Feuerkraft und Reliquien entgegentreten.,Vous ne pouvez affronter le Commandant Ducan sans une puissance de feu considérable et quelques reliques,No puedes enfrentarte a el comandante Ducan sin armas ni reliquias.,Nemůužeš se postavit veliteli bez slušných zbraní a relikvií,몇몇 렐릭들의 힘과 중화기가 없다면 사령관과 맞설 생각은 하지 않는게 좋아.,Je kan de Commandant niet aan zonder serieuze vuurkracht en een paar relics.,Non puoi affrontare il Comandandte senza un adeguata potenza di fuoco e alcune reliquie.,,,
ASS_LEVEL3_1,Maybe Ill help you with the fighting next time.,Talvez eu te ajude com a luta da próxima vez.,Talvez eu te ajude com a luta da próxima vez.,Maybe Ill help you with the fighting next time.,じかいのたたかいで あなたを おてつだいしようかな,Vielleicht helfe ich dir beim nächsten Mal.,Peut-être que je vous aiderais avec les combats la prochaine fois.,"Quizás la próxima vez te ayude a en la pelea.
",Možná ti příště pomůžu bojovat..,다음 번엔 내가 자네와 함께 싸워주겠네!,Misschien help ik je de volgende keer uit met vechten.,Forse ti aiuterò nel combattimento la prossima volta.,,或许下次我会和你一起出战。,
ASS_LEVEL3_2,"Hmm, I actually meant the next time after this one.","Hmm, eu quis dizer a vez depois dessa.","Hmm, eu quis dizer a vez depois dessa.","Hmm, I actually meant the next time after this one.",ふむ、 さっきのは このつぎのことを いったのですよ,"Hmm, ich meinte eigentlich das Mal darauf.","Hmm, je voulais dire la fois prochaine après celle-ci.","Hmm, yo en realidad quería decir la próxima vez después de ésta.","Hmm, vlastně jsem myslel až po tomhle boji","으음, 사실 그 다음 번은 이 다음을 말한거였어.","Hmm, ik bedoelde eigenlijk de keer hierna.","Hmm, in realtà intendevo la volta ancora successiva.",,额，其实我说的是这次的下一次。,
ASS_LEVEL3_3,Relic Hunting sure sounds dangerous. Im glad you take most of the risks.,Caçar relíquias parece perigoso. Ainda bem que você toma todos os riscos.,Caçar relíquias parece perigoso. Ainda bem que você toma todos os riscos.,Relic Hunting sure sounds dangerous. Im glad you take most of the risks.,いぶつさがしは おおきなきけんを ともないます。 あなたが リスクのほとんどを せおってくれて うれしいです,"Reliquien aufspüren, klingt gefährlich. Schön, dass du all die Gefahren auf dich nimmst.",Chasseur de Reliques semble plutôt dangeureux. Je suis content que vous preniez la plupart des risques.,Cazador de reliquias suena peligroso. Me alegro de que tomes la mayor parte de los riesgos.,"Lov relikvií zní nebezpečně, tak doufám že na tom něco získáme","유물 사냥은 굉장히 위험해 보이는데, 그 위험을 자네가 도맡아하니 난 정말 기쁘다네.",Relic-jagen klinkt zeker gevaarlijk. Gelukkig neem jij de meeste risico's.,la Caccia di Reliquie suona davvero pericolosa. Sono lieto che ti becchi la maggior parte dei rischi.,,遗迹探寻当然是一件很危险的事情。我很高兴是你去冒这个险。,
ASS_LEVEL4_1,Hmm. Maybe you do stand a chance against the Ducan Commander.,Hmm. Talvez você tenha mesmo uma chance contra o Comandante Ducan.,Hmm. Talvez você tenha mesmo uma chance contra o Comandante Ducan.,Hmm. Maybe you do stand a chance against the Ducan Commander.,ふむ。 あなたには Ducan Commanderにかつみこみが あるかもしれません,Hmm. Vielleicht hast du doch eine Chance gegen den Ducan-Commander.,Hmm. Peut-être que vous avez une chance contre le Commandant Ducan.,Hmm. Tal vez tengas una oportunidad contra el Comandante Ducan.,Hmmm... možná jsi měl dát veliteli Duncanovi šanci,"으음, 자네 어쩌면 Ducan 사령관과 부딪혀 볼 기회가 생길지도 모르겠어.",Hmm. Misschien heb je wel een kans tegen de Ducan Commandant.,Hmm. Forse hai una chance contro il Comandante Ducan.,,,
ASS_LEVEL4_2,Now you were just lucky. No shame in admitting it.,"Agora você só deu sorte. Admite, vai.","Agora você só deu sorte. Admite, vai.",Now you were just lucky. No shame in admitting it.,いま あなたはたんに ラッキーでした。 それをみとめることは はじでは ありません,Das jetzt war doch alles Glück. Gib's ruhig zu.,Vous avez juste eu de la chance. Il n'y a pas de honte à l'admettre.,Acabas de tener mucha suerte. No hay vergüenza en admitirlo.,Teď jsi měl prostě štěstí a neboj se to přiznat,"자네 운이 좋았던거, 인정하지? 부끄러워 할 거 없네.",Nu had je gewoon geluk. Dat geef ik zonder schaamte toe.,Adesso hai davvero avuto fortuna. Non vergognarti ad ammetterlo.,,,
ASS_LEVEL4_3,"Try not to die, ok? I need you to buy my overpriced stuff.","Tenta não morrer, ok? Preciso de você pra vender minhas coisas.","Tenta não morrer, ok? Preciso de você pra vender minhas coisas.","Try not to die, ok? I need you to buy my overpriced stuff.",しなないでください、 いいですか? わたしはあなたから もっとふんだくる ひつようがあるので,"Versuch' dich am Leben zu halten, ok? Sonst verlier' ich meinen einzigen Kunden.","Essayez de ne pas mourir, ok? J'ai besoin de vous pour acheter mes affaires hors de prix.","Trata de no morir, ¿de acuerdo? Necesito que me compres cosas.",Skus neumřít ano ? Chci abys ode mě koupil moje předražený věci.,죽지말라구. 알았지? 난 바가지를 씌울 자네가 필요하니까 말이지.,"Probeer niet dood te gaan, ok? Ik heb je nodig om mijn extra dure spul over te kopen.","Cerca di non morire, ok? Ho bisogno che tu compra i miei prodotti sovraprezzati.",,别死这么多次，行不？我可是要你买我贵价物品啊。,
ASS_RANDOM00,Im sure you can deal with that Ducan Commander if you fail enough times.,Com certeza você lida com aquele Comandante se falhar o suficiente.,Com certeza você lida com aquele Comandante se falhar o suficiente.,Im sure you can deal with that Ducan Commander if you fail enough times.,たとえ なんどしっぱいしたとしても あなたがDucan Commanderにかつと かくしんしています,"Du bringst den Commander bestimmt zur Strecke, du musst nur oft genug scheitern.","Je suis sur que vous pouvez faire face à ce Commandant Ducan, si vous échouez suffisament de fois.","Creo que podrás acabar con el comandante Ducan, si fracasas la suficientes veces.",Myslím že se můžeš dohodnout s velitelem Ducanem pokud selžeš mockrát,실패는 성공의 어머니라고 하지 않나? 여기서 성공이란 아마도 Ducan 사령관을 처리한다는 것을 의미하겠지?,Ik weet zeker dat je die Ducan Commandant aankan als je vaak genoeg faalt.,Sono sicuro che puoi affrontare quel Comandante Ducan se fallisci abbastanza volte.,,我敢肯定，只要你死的足够多次，你是可以打败Ducan Commander的。,
ASS_RANDOM01,"If I were you, Id buy everything from the previous Stage before progressing.","Se eu fosse você, compraria tudo da Fase anterior antes de avançar.","Se eu fosse você, compraria tudo da Fase anterior antes de avançar.","If I were you, Id buy everything from the previous Stage before progressing.",もし わたしがあなただったら すすむまえに すべてこうにゅうするでしょう,"Bevor du weitergehst rate ich dir, alles vom vorigem Level zu kaufen.","Si j'étais vous, je acheterais tous les trucs du Niveau précédent avant de continuer.","Si fuera tú, compraría todo de la fase anterior antes de avanzar. ",Být na tvém místě koupil bych všechno z předchozího levelu před pokračováním,"내가 자네라면, 스테이지 시작전에 지갑을 꺼내 이 물건들을 사겠지.","Als ik jou was, zou ik alles kopen van het vorige Niveau voordat ik verder ging.","Se fossi in te, acquisterei tutto del Livello precedente prima di proseguire.",,,
ASS_RANDOM02,You can equip up to 3 Relics at the same time. Try different combinations.,Você pode equipar até 3 Relíquias. Tente combinações diferentes.,Você pode equipar até 3 Relíquias. Tente combinações diferentes.,You can equip up to 3 Relics at the same time. Try different combinations.,どうじに3つまで いぶつを そうびできます。 いろんなくみあわせを ためしてみてください,Du kannst bis zu 3 Reliquien tragen. Probier verschiedene Kombinationen aus.,Vous pouvez équiper jusqu'à 3 reliques en même temps. Essayez différentes combinaisons.,Puedes equiparte 3 reliquias a la vez. Intenta distintas combinaciones.,"Můžeš použít 3 relikvie najednou, vyzkoušej si kombinace
",한번에 3가지의 유물들을 장착할 수 있네. 다양한 조합을 써보게나,Je kunt tot 3 Relics tegelijkertijd gebruiken. Probeer verschillende combinaties.,Puoi equipaggiare fino a 3 Reliquie diverse allo stesso tempo. Prova combinazioni diverse.,,,
ASS_RANDOM03,Is this a little too hard on you? Poor Hunter.,"Tá muito difícil pra você? Ô, tadinho.","Tá muito difícil pra você? Ô, tadinho.",Is this a little too hard on you? Poor Hunter.,あなたには これでも むずかしすぎましたか? しろうとハンターさん,Zu schwer? Du armes Ding.,Est-ce un peu trop dur pour vous? Pauvre Chasseur.,¿Es demasiado difícil para ti? Pobre cazador.,Není to na tebe moc těžké ? Chudáčku lovče,엥? 이 정도로도 그렇게 힘들단 말인가? 자네 형편없구만.,Is dit een beetje te lastig voor je? Arme Jager.,E' un po' troppo difficile per te? Poverino.,,可怜的猎人啊，这是不是有点难？,
ASS_RANDOM04,Co-op is usually easier when you don't kill each other.,Co-op normalmente é mais fácil se vocês não se matarem.,Co-op normalmente é mais fácil se vocês não se matarem.,Co-op is usually easier when you don't kill each other.,Co-opは つうじょう かんたんになります。 ころしあわなければ,"Koop ist an sich leichter, wenn ihr euch nicht gegenseitig umbringt.","La Co-op est en général plus facile, quand vous ne vous entretuez pas.",Co-op suele ser más fácil si no os matáis entre vosotros.,Kooperace je obvykle lehčí pokud se nepozabíjíte navzájem,"협동은 보통 난이도를 ""낮춰""주지. 자네가 팀원을 ""맞추""지만 않는다면 말야.",Co-op is normaalgesproken gemakkelijker als je elkaar niet doodt.,"La Cooperativa è generalmente più facile quando non vi ammazzate a vicenda.
",,,
ASS_RANDOM05,Maybe Ill help you with the fighting next time.,Talvez eu te ajude com a luta da próxima vez.,Talvez eu te ajude com a luta da próxima vez.,Maybe Ill help you with the fighting next time.,じかいのたたかいで あなたを おてつだいしようかな,Vielleicht helfe ich dir beim nächsten Mal.,Peut-être que je vous aiderais avec les combats la prochaine fois,"Quizás la próxima vez te ayude a en la pelea.
",Možná ti příště pomůžu bojovat..,다음 번엔 내가 자네와 함께 싸워주겠네!,Misschien help ik je de volgende keer met vechten.,Forse vi aiuterò nel combattimento la prossima volta..,,,
ASS_RANDOM06,Thanks for buying all that stuff from me. I can afford new horseshoes now.,Obrigado por comprar todas aquelas coisas. Comprei ferraduras novas.,Obrigado por comprar todas aquelas coisas. Comprei ferraduras novas.,Thanks for buying all that stuff from me. I can afford new horseshoes now.,すべてのしょうひんを かっていただき ありがとうございます。 これで あたらしいていてつを かうよゆうが できました ,Danke fuer den Großeinkauf. Jetzt kann ich mir neue Hufeisen leisten. ,Merci de m'acheter tous ces trucs. Je peux me permettre d'acheter de nouveaux fers à cheval maintenant.,Gracias por comprarme todas esas cosas. Ahora puedo permitirme nuevas herraduras.,"Děkuji že vše kupuješ ode mě, můžu si koupit nové koňské boty",이 물건을 다 사주다니 고맙네! 이제야 새 말굽을 맞출수 있게 됐어.,Bedankt voor het overkopen van al dat spul van me. Nu kan ik nieuwe hoefijzers betalen.,Grazie per acquistare tutta questa roba da me. Adesso posso permettermi dei nuovi ferri di cavallo.,,谢谢你的光顾。我终于可以买得起新的马蹄铁了。,
ASS_RANDOM07,"My name might be ""Ass"", but Im not the one getting kicked out there.","Eu posso ser uma Mula, mas não sou eu que estou empacado no jogo.","Eu posso ser uma Mula, mas não sou eu que estou empacado no jogo.","My name might be ""Ass"", but Im not the one getting kicked out there.","わたしのなまえは ""Ass""かもしれませんが、 おいだされたわけでは ありませんよ","Ich bin vielleicht ein Esel, aber nicht so störrisch wie du.","Mon nom est peut être ""Ass"", mais je ne suis pas celui qui va y passer.","Puede que me llame ""Ass"", pero a mi no me patean el trasero.","Možná se jmenuju Ass, ale nikdo mě vykopávat nebude","내 이름은""Ass""가 틀림없네. ㅁㄴㄴ가 아니란 말 일세.","Mijn naam is misschien wel ""Ass"", maar ik ben niet degene die hier een pak slaag krijgt.","Il mio vero nome è Culo, ma ti assicuro che non sarò io ad essere preso a calci lì fuori.",,,
ASS_RANDOM08,I wonder if my dialogue ever repeats itself.,Fico pensando se às vezes eu falo muito a mesma coisa.,Fico pensando se às vezes eu falo muito a mesma coisa.,I wonder if my dialogue ever repeats itself.,わたしは おなじセリフを なんかい くりかえしたのでしょうか,"Ich frage mich, ob ich mich jemals wiederhole.",Je me demande si mon dialogue finit par se répéter.,Me pregunto si mi diálogo se repite.,Občas si připadám že si mluvím pro sebe,난 이 대화내용이 반복되고 있는게 아닌가 궁금할 따름이네.,Ik ben benieuwd of mijn dialoog zich ooit herhaalt.,Mi chiedo semmai i miei dialoghi verranno ripetuti.,,,
ASS_RANDOM09,"To become invincible, press ""left"", ""right"" and then... no, just messing with ya.","Para ficar invencível, aperta ""esquerda"", ""direita"" e... não, tô brincando.","Para ficar invencível, aperta ""esquerda"", ""direita"" e... não, tô brincando.","To become invincible, press ""left"", ""right"" and then... no, just messing with ya.","むてきに なるためには、 ""ひだり"" をおして、 ""みぎ"" をおして、 それから… ああ、 じゃましないで","Um unbesiegbar zu werden, drücke ""Links"", ""Rechts"" und dann... Haha, von wegen.","Pour devenir invincible, appuyez sur ""gauche"", ""droite"" et ensuite... non, je me moque de vous.","Para volverte invencible, pulsa ""izquierda"", ""derecha"" y después... no, sólo estoy jugando contigo.","pokud chceš být neporazitelný stiskni doleva, pak doprava a pak... no, zapomeň na to","무적 치트키가 뭐냐고?  Enter를 한번 치고 ""Power overwhelm..."". 잠깐, 자네 설마 믿은건가?","Om onzichtbaar te worden, druk je op ""links"", ""rechts"" en dan op... niks, ik zit gewoon met je te dollen.","Per diventare invincibile, premi ""sinistra"", ""destra"" e poi... ah, ti sto solo prendendo in giro.",,,
ASS_RANDOM10,I would donate all of my money to whomever made this game.,Eu doaria todo o meu dinheiro pra quem fez esse jogo.,Eu doaria todo o meu dinheiro pra quem fez esse jogo.,I would donate all of my money to whomever made this game.,このゲームを つくっただれかに すべてのおかねを　きふしたいですね,Wer hat dieses Spiel gemacht? Denen würde ich all mein Geld spenden.,Je donnerai tout mon argent à celui qui a fait ce jeu.,Donaría todo mi dinero a quienquiera que haya hecho este juego.,Chci podpořit všemi svými penězmi toho kdo vytvořil tuhle hru,하아~ 난 정말 이 게임을 만든 사람에게 전재산을 기부하고 싶네.,Ik zou al mijn geld doneren aan wie dan ook die dit spel heeft gemaakt.,Donerei tutti i miei soldi a chiunque abbia creato e tradotto questo gioco.,,我会将我所有的钱捐给做出这个游戏的人。,
ASS_RANDOM11,Think Im annoying? At least Im not throwing grenades at you.,Me acha irritante? Pelo menos não estou jogando granadas em você.,Me acha irritante? Pelo menos não estou jogando granadas em você.,Think Im annoying? At least Im not throwing grenades at you.,わたしは めいわくですか? すくなくとも あなたにグレネードを なげていませんよ,Ich soll nervig sein? Zumindest bewerfe ich dich nicht mit Granaten.,Vous pensez que je suis embêtant ? Au moins je ne vous jette pas de grenades dessus.,¿Piensas que soy molesto? Por lo menos no te tiro granadas.,"Myslíš že jsem otravný ? Abych po tobě nehodil granát
",내가 귀찮다고? 그래도 난 최소 자네에게 총을 들이대진 않잖나?,Vind je me irritant? Ik gooi tenminste geen granaten naar je.,Pensi che sia fastidioso? Almeno non ti sto lanciando addosso granate continuamente.,,你觉得我很烦啊？至少我没有拿手榴弹来扔你啊。,
ASS_RANDOM12,Ever wondered how I teleport the teleporters down to the asteroid?,Já se perguntou como eu teleporto os teleportadores até o asteróide?,Já se perguntou como eu teleporto os teleportadores até o asteróide?,Ever wondered how I teleport the teleporters down to the asteroid?,いままで わたしはどうやって しょうわくせいのもとに テレポーターを もってきたのでしょう?,"Hast du dich schon gefragt, wie ich die Teleporter zum Asteroiden teleportiere?",Vous êtes vous déjà demandé comment je téléporte les téléporteurs sur l'astéroïde? ,Alguna vez se preguntó cómo teletransporto los teletransportadores hasta el asteroide?,Přemýšlels někdy nad tím jak teleportuji teleporty dolů na asteroidy ?,내가 어떻게 전송기를 밑으로 전송시켰는가 궁금했던 적은 없나?,Heb je je ooit afgevraagd hoe ik de teleporters naar de Asteroïde teleporteer?,Ti sei mai chiesto come faccia a teleportare i teletrasporti sull'asteroide?,,你有没有曾经想过我是怎样将传送装置传送到行星上的？,
ASS_RANDOM13,"If the Ducan Dinasty wins here, the whole galaxy is doomed. No pressure.","Se a Dinastia Ducan vencer aqui, a galáxia está perdida. Sem pressão.","Se a Dinastia Ducan vencer aqui, a galáxia está perdida. Sem pressão.","If the Ducan Dinasty wins here, the whole galaxy is doomed. No pressure.",ここで Ducanらがかてば ぎんがは ひげきのうんめいを たどるでしょう。 プレッシャーを かけているわけでは ありません,"Siegt die Ducan-Dynastie, sind wir verloren. Fühl dich aber nicht unter Druck gesetzt.","Si la Dynastie Ducan gagne ici, toute la galaxie est condamnée. Aucune pression.","Si la Dinastía Ducan gana, la galaxia estará condenada. Sin presión.",Jestli tu Duncanova společnost vyhraje je s galalxií ámen,"만약 Ducan 왕조가 이 전투에서 승리하게 되면, 전 은하계는 개박살날걸세....부담은 가지지 말고.","Als de Duncan-dynastie hier wint, is het universum verloren. Geen stress.","Mi chiamano tutti ""Ass"" che nella tua lingua significa ""Culo"". Che casualmente è anche il mio vero nome.
",,,
ASS_RANDOM14,I wonder if I could charge Bounty for my advice as well.,"Será que devo cobrar Estrelas pelos meus conselhos, também?","Será que devo cobrar Estrelas pelos meus conselhos, também?",I wonder if I could charge Bounty for my advice as well.,わたしもアドバイスで おかねをもらってもいいと おもいます,Vielleicht sollte ich auch für meine wertvollen Tipps Sterne verlangen.,Je me demande si je peux faire payer mes conseils également.,Me pregunto si también podría cobrar recompensa por mi consejo.,"Navrhuji vyměnit odměnu za mojí radu, je dobrá",내 조언을 듣는데 돈을 내는건 어떻게 생각하나?....난 진지하게 고려해보고 있다네.,Ik ben benieuwd of ik ook een premie zou kunnen vragen voor mijn advies.,Mi chiedo se possa mettere una Taglia sui miei consigli pure.,,我在想我的建议是不是也可以收取一点赏金。,
ASS_RANDOM15,Did you forget to hold the right mouse button to aim this time?,Você se esqueceu de usar o botão direito do mouse para mirar dessa vez?,Você se esqueceu de usar o botão direito do mouse para mirar dessa vez?,Did you forget to hold the right mouse button to aim this time?,このときをねらって みぎクリックしたままなのを おわすれですか?,Hast du dieses Mal vergessen mit der rechten Maustaste zu zielen?,Aviez-vous oublié de maintenir le clic droit pour viser cette fois?,¿Te has olvidado de apretar el click derecho para apuntar esta vez?,Nezapoměl jsi tentokrát držet pravé myšítko pro míření ?,마우스 오른쪽 버튼으로 조준할수 있다는 걸 잊어먹은건가?,Ben je deze hele tijd vergeten om de rechter muiskop ingedrukt te houden om te richten?,Ti sei dimenticato di tenere premuto il pulsante destro del mouse per mirare questa volta?,,你这次是不是忘记了要按住鼠标右键来瞄准？,
ASS_RANDOM16,Was that a grenade that killed you last time? You must be getting tired.,Foi uma granada que te matou outra vez? Deve estar se cansando.,Foi uma granada que te matou outra vez? Deve estar se cansando.,Was that a grenade that killed you last time? You must be getting tired.,あれが ぜんかいあなたをころした グレネードだって? あなた つかれてるんですよ,"War das eine Granate, die dich das letzte Mal getötet hat? Wirst wohl müde.",N'était-ce pas une grenande qui vous a tué la dernière fois? Vous devez en avoir marre.,¿Era esa la granada que te mató la última vez? Debes estar cansándote.,Nezabil tě posledně taky granát ? to musí být iritující,자네 피곤하나? 방금 그레네이드에 맞아 죽은거 같았는데,Was dat een granaat die je de vorige keer heeft doodgemaakt? Je moet vast moe aan het worden zijn.,E' stata una granata ad ucciderti l'ultima volta? Devi cominciare a stufarti.,,,
ASS_RANDOM17,I heard that the developer wanted to implement several different endings.,Ouvi que um desenvolvedor queria colocar vários finais diferentes.,Ouvi que um desenvolvedor queria colocar vários finais diferentes.,I heard that the developer wanted to implement several different endings.,かいはつしゃは いくつかの ことなるエンディングを じつげんしたかったと ききました,"Man sagt, die Entwickler wollten mehrere Endings implementieren.",J'ai entendu dire que le développeur voulait implémenter plusieurs fins différentes.,He oído que el desarrollador quería poner distintos finales.,"Slyšel jem o tom že vývojář chtěl implementovat více možných konců
",난 개발자가 여러가지 엔딩을 만들고 싶어한다고 들었네.,Ik heb gehoord dat de developer meerdere eindes wilde implementeren.,Ho sentito dire che lo sviluppatore voleva implementare molti diversi finali.,,我听说开发游戏的那个人想要弄几个不同的结局。,
ASS_RANDOM18,Do you like cats? I like cats.,Você gosta de gatos? Eu gosto de gatos.,Você gosta de gatos? Eu gosto de gatos.,Do you like cats? I like cats.,ねこは すきですか? わたしは すきです,Magst du Katzen? Ich mag Katzen.,Vous aimez les chats? J'aime les chats.,¿Te gustan los gatos? Me encantan los gatos,Máš rád kočky ? Já ano,고양이 좋아하나? 난 냥빠라네..,Hou jij van katten? Ik hou van ze.,Ti piacciono i gatti? A me piacciono i gatti. Meow.,,你喜欢喵吗？我喜欢。,
ASS_RANDOM19,"Im not much of a dog person. Was once, though.",Não gosto tanto de cachorros quanto eu gostava antes.,Não gosto tanto de cachorros quanto eu gostava antes.,"Im not much of a dog person. Was once, though.",わたしは いぬはでは ありません。 かつては、 そうでしたが,Ich war mal ein Hundemensch. Oder Hundeesel.,Je ne suis pas très chien. Je le fus cependant.,"Antes me gustaban los perros.
","Nejsem moc pejskař, spíš pejskůň",난 개는 그리 좋아하지 않아. 예전에 그런적은 있지만 말야.,Ik ben niet zo'n hondenpersoon. Ik was er vroeger wel een hoor.,"Non sono un amante dei cani. Ma lo ero una volta, a dire il vero.",,我不太喜欢狗。虽然我曾经喜欢过狗。,
ASS_RANDOM20,"Of course ""Ass"" is not my real name. Its ""Assonius"".","Claro que ""Ass"" não é meu nome verdadeiro. É ""Assonius"".","Claro que ""Ass"" não é meu nome verdadeiro. É ""Assonius"".","Of course ""Ass"" is not my real name. Its ""Assonius"".","もちろん ""Ass"" はほんとうのなまえでは ありません。 ""Assonius"" といいます","""Ass"" ist natürlich nicht mein echter Name. Ich heiße ""Assonius"".","Bien sûr ""Ass"" n'est pas mon vrai nom. Mon vrai nom est ""Assonius"".","Claro que ""Ass"" no es mi verdadero nombre. Es ""Assonius"".","Jasně že Ass není mé celé jméno, to zní ""Assonius""","당연히 ""Ass""가 내 진짜 이름은 아닐세. ""Assonius""가 진짜 이름이지.","Natuurlijk is ""Ass"" niet mijn echte naam. Het is ""Assonius"".",Ma certo che non mi chiamo Culo per davvero. Il mio vero nome è Culombo.,,“Ass”当然不是我的真名。我的真名叫做“Assonius”。,
