,English (EN),Brazilian Portuguese (BR),Brazilian HUE (HUE),Russian (RU),Japanese (JP),German (DE),French (FR),Español (ES),Czech (CZ),Korean (KR),Dutch (NL),Italian (IT),Traditional Chinese (CHT),Simplified Chinese (CHN),Indonesian(IND),Polish (PL),Hungary(HUN),Thai(TH),Norwegian (NO),Danish (DK),Roumanian (RO),Pirate English,Hebrew (IL),Swedish (SWE),Greek (GR),Việt Nam (VN),Turkish / Türkçe (TR),Arabic (AR),Portugal Portuguese (PT),Suomi (FIN),Bulgarian (BG),Lithuanian (LT)
ASS_LOOP2_5,Keep those weapons upgraded or you might not see me in the next level.,Mantenha suas armas atualizadas ou você pode não me ver na próxima fase.,Mantenha suas armas atualizadas ou você pode não me ver na próxima fase.,Keep those weapons upgraded or you might not see me in the next level.,Keep those weapons upgraded or you might not see me in the next level.,"Halte deine Waffen aktuell, du siehst mich möglicherweiße nicht jedes Level.",Garde ces armes au niveau ou tu pourrais ne pas me voir au niveau prochain.,Manten esas armas mejoradas o puede que no llegues a verme en el siguiente nivel.,Keep those weapons upgraded or you might not see me in the next level.,Keep those weapons upgraded or you might not see me in the next level.,Keep those weapons upgraded or you might not see me in the next level.,Keep those weapons upgraded or you might not see me in the next level.,Keep those weapons upgraded or you might not see me in the next level.,Keep those weapons upgraded or you might not see me in the next level.,Keep those weapons upgraded or you might not see me in the next level.,Polepszaj dalej te bronie bo inaczej możesz nie zobaczyć mnie w następnym poziomie.,Keep those weapons upgraded or you might not see me in the next level.,Keep those weapons upgraded or you might not see me in the next level.,Keep those weapons upgraded or you might not see me in the next level.,Keep those weapons upgraded or you might not see me in the next level.,Keep those weapons upgraded or you might not see me in the next level.,Keep those weapons upgraded or you might not see me in the next level.,Keep those weapons upgraded or you might not see me in the next level.,Keep those weapons upgraded or you might not see me in the next level.,Κράτα τα όπλα σου αναβαθμησμένα. Μπορεί να μη με δεις στην επόμενη πίστα.,Keep those weapons upgraded or you might not see me in the next level.,Keep those weapons upgraded or you might not see me in the next level.,Keep those weapons upgraded or you might not see me in the next level.,Keep those weapons upgraded or you might not see me in the next level.,Keep those weapons upgraded or you might not see me in the next level.,,
ASS_LOOP2_6,"Be honest, you're relieved to see me now, aren't you?","Fala sério, você está feliz em me ver, né?","Fala sério, você está feliz em me ver, né?","Be honest, you're relieved to see me now, aren't you?","Be honest, you're relieved to see me now, aren't you?","Sei ehrlich, du bist foh mich zu sehen, nicht?","Sois honnête, tu es soulagé de me voir maintenant, n'est-ce pas?
","Se honesto conmigo, tu estás aliviado al verme ahora, ¿verdad?","Be honest, you're relieved to see me now, aren't you?","Be honest, you're relieved to see me now, aren't you?","Be honest, you're relieved to see me now, aren't you?","Be honest, you're relieved to see me now, aren't you?","Be honest, you're relieved to see me now, aren't you?","Be honest, you're relieved to see me now, aren't you?","Be honest, you're relieved to see me now, aren't you?","Bądź szczery, cieszysz się że mnie teraz widzisz, czyż nie?","Be honest, you're relieved to see me now, aren't you?","Be honest, you're relieved to see me now, aren't you?","Be honest, you're relieved to see me now, aren't you?","Be honest, you're relieved to see me now, aren't you?","Be honest, you're relieved to see me now, aren't you?","Be honest, you're relieved to see me now, aren't you?","Be honest, you're relieved to see me now, aren't you?","Be honest, you're relieved to see me now, aren't you?","Να είσαι ειλικρινής, ανακουφίστηκες που με είδες τώρα ε;","Be honest, you're relieved to see me now, aren't you?","Be honest, you're relieved to see me now, aren't you?","Be honest, you're relieved to see me now, aren't you?","Be honest, you're relieved to see me now, aren't you?","Be honest, you're relieved to see me now, aren't you?",,
ASS_LOOP2_7,It must be hard dealing with the Ducan Elite. Glad I'm not you.,Deve ser duro lidar com os Ducan Elites. Ainda bem que não sou você.,Deve ser duro lidar com os Ducan Elites. Ainda bem que não sou você.,It must be hard dealing with the Ducan Elite. Glad I'm not you.,It must be hard dealing with the Ducan Elite. Glad I'm not you.,Es muss schwer sein die Ducan Elite zu bekämpfen. Bin ich froh das ich nicht du bin.,Ca va être dur de faire affaire avec L'Elite de Duncan. Heureusement que je ne suis pas à ta place!,Debe ser dificil tener que lidiar con la élite Ducan. Me alegro de no ser tú.,It must be hard dealing with the Ducan Elite. Glad I'm not you.,It must be hard dealing with the Ducan Elite. Glad I'm not you.,It must be hard dealing with the Ducan Elite. Glad I'm not you.,It must be hard dealing with the Ducan Elite. Glad I'm not you.,It must be hard dealing with the Ducan Elite. Glad I'm not you.,要对付Ducan精英兵肯定很困难。幸好我不是你。,It must be hard dealing with the Ducan Elite. Glad I'm not you.,Musi być ciężko radzić sobie z Elitą Dukanów. Dobrze że nie jestem tobą.,It must be hard dealing with the Ducan Elite. Glad I'm not you.,It must be hard dealing with the Ducan Elite. Glad I'm not you.,It must be hard dealing with the Ducan Elite. Glad I'm not you.,It must be hard dealing with the Ducan Elite. Glad I'm not you.,It must be hard dealing with the Ducan Elite. Glad I'm not you.,It must be hard dealing with the Ducan Elite. Glad I'm not you.,It must be hard dealing with the Ducan Elite. Glad I'm not you.,It must be hard dealing with the Ducan Elite. Glad I'm not you.,Πρέπει να είναι δύσκολο να αντιμετωπίζεις τους Ελίτ Πάπιους. Χαίρομαι που δεν είμαι στη θέση σου.,It must be hard dealing with the Ducan Elite. Glad I'm not you.,It must be hard dealing with the Ducan Elite. Glad I'm not you.,It must be hard dealing with the Ducan Elite. Glad I'm not you.,It must be hard dealing with the Ducan Elite. Glad I'm not you.,It must be hard dealing with the Ducan Elite. Glad I'm not you.,,
ASS_SPOOKY1,"Wow, we do visit the most interesting places, don't we?","Eita, nós realmente visitamos uns lugares... interessantes.",VISH MACUMBA BRABA AQUI HEIN KKK,,,"Wow, wir besuchen wirklich die interressantesten Orte, nicht?",,"Guau, siempre estamos visitando lugares bastante... interesantes, ¿No?",,,,,,,,"Łał, odwiedzamy najbardziej interesujące miejsca, czyż nie?",,,,,,,,,"Ουάου, επισκεπτόμαστε τα πιο ενδιαφέροντα μέρη, δε νομίζεις;",,,,,,,
ASS_SPOOKY2,"Happy Halloween, by the way. Are we still in October?","Feliz Dia das Bruxas, aliás. Nós ainda estamos em Outubro?",XÔ ENCOSTO HAEUAHEUA,,,"Fröhliche Halloween, nebenbei. Es ist immernoch Oktober oder?",,¡Feliz Noche de Brujas!.. Todavia estamos en Octubre?,,,,,,嘿，万圣节快乐！等一下，现在还是不是十月？,,"Wesołego Halloween, tak przy okazji. Czy nadal jest Październik?",,,,,,,,,"Παρεπιπτόντως, καλό Χελογουίν. Είναι ακόμη Οκτώβριος;",,,,,,,
ASS_SPOOKY3,"Whew, I'm glad we're getting out of here.","Ufa, estou feliz que estamos indo embora deste lugar.",RELAX LIGUEI NO DISK DISPACHO E TA TUDO CERTO AGORA KKK,,,"Puuh, bin ich froh, das wir hier raus kommen.",,¡Uf! Me alegro de que nos vamos de aquí.,,,,,,呼，好在我们逃了出来。,,"Fiu, ciesze się, że się stąd wydostajemy. ",,,,,,,,,"Ουφ, χαίρομαι που φύγαμε από εδώ.",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RELIC_PINEAPPLE_NAME,The Pineapple Pudding,O Pudim de Abacaxi,Gelatina Bocão,Ананасовый пудинг,パイナップルプリン,Der Ananaspudding,Le Pudding d'Ananas,El Pudín de Ananá,Ananasový puding,파인애플 푸딩,De Ananaspudding,Lo Stufato di Mele,,菠萝布丁,Puding nenas,Ananasowy Pudding,Az Ananász Puding,,Ananas puddingen,,,The Pineapple Puddin',פודינג האננס,,Η Πουτίνγκα Ανανά,Bánh Thơm Pudding,Ananaslı Pudding,مهلبية بالأناناس,O Pudim De Ananás,Ananasvanukas,,Ananasinis Pudingas
RELIC_PINEAPPLE_LONG,+ Maximum Health,+ Vida Máxima,'+ Sangue Massimo,+ Максимальное Здоровье,+ さいだい たいりょく,+ Maximal-LP,+ Vie maximun,+ Vida máxima,Maximální zdraví'+,+ 최대 체력,+ Maximale Gezondheid,+ Vita Massima,加最大血量,+ 最大血量, + Kesihatan Maksimum,+Maksymalne zdrowie,Plusz Életerő,,+ Ekstra liv,,,Very Vigorous Treat,+ יותר חיים,,+ Μέγιστη Υγεία,Tăng giới hạn Sinh Lực,+Maksimum Can,+ صحة كاملة,+Vida Máxima,+ Maksimiterveys,,+ Daugiausia Gyvybių
RELIC_PINEAPPLE_SHORT,Extra Health,Vida Extra,Sangue Estra,Дополнительное Здоровье,たいりょく きょうか,Extra LP,Vie Extra,Vida extra,Extra zdraví,추가 체력,Extra Gezondheid,Vita Extra,額外血量,额外血量,Lebih Kesihatan,Dodatkowe życie,Extra Életerő,,Ekstra liv,,,Extra Vigor,יותר חיים,,Επιπλέον υγεία,Tăng Sinh Lực,Ekstra Can,صحة إضافية,Vida Extra,Ekstraterveyttä,,Papildomos Gyvybės
RELIC_ALCOHOLIC_NAME,The Alcoholic Carrot,A Cenoura Alcóolica,Sukita Com Balalaika,Запойная Морковка,アルコールキャロット,Die alkoholische Möhre,La Carotte Alcoolique,La Zanahoria Alcohólica,Alkoholická mrkev,술에 담근 당근,De Alcoholische Wortel,La Carota Alcolica,,酒精胡萝卜,,Marchwio-wódka,Az Alkoholista Répa,,Alkoholisert gulerot,,,The Rum,הגזר האלכוהוליסט,,Το Αλκοολικό Καρότο,Củ cà rốt thấm rượu,Alkollü Havuç,شراب الجزر,A Cenoura Alcoólica,Alkoholistiporkkana,,Alkocholinė Morka.
RELIC_ALCOHOLIC_LONG,+ Stamina Regeneration,+ Regeneração de Stamina,'+ Recupera o fôlego,+ Регенерация Выносливости,+ スタミナ かいふくそくど,+ Ausdauerregeneration,+ Régération de l'Endurance,+ Regeneración de Energía,Regenerace výdrže '+,+ 지구력 회복속도,+ Stamina Regeneratie,+ Rigenerazione Stamina,,+ 耐力恢复,,+Regeneracja wytrzymałości,,,+ Stamina regenerasjon,,,Helps Exhaustion Recovery,חידוש סיבולת '+,,+ Αναζωογόνηση Αντοχής,Tăng tốc độ phục hồi Thể Lực,+Nefes Seviyesi Yenilenme,+ إستعادة التحمل,+ Regenerção de Stamina,+ Kestävyyden palautuminen,,+ Ištvermės
RELIC_ALCOHOLIC_SHORT,+Stamina Regen,+ Regen de Stamina,'+ Recupera o fôlego,+Реген Выносливости,+スタミナ さいせい,+ Ausdauerregen.,+ Endurance regen.,+ Regen. de Energía,Regen výdrže '+,+지구력 회복,+ Stamina Regen.,+Rigen. Stamina,,+ 耐力恢复,,+Regen. wytrzymałości,,,+ Stamina,,,Recover Faster,חידוש סיבולת '+,,+ Αναζωογόνηση Αντοχής,Phục hồi Thể Lực,+ Nefes Seviyesi Dolumu,+ إستعادة التحمل,+ Regen de Stamina,,,+ Skydo atstatymas
RELIC_CRYSTAL_NAME,The Crystal Bacon,O Bacon de Cristal,Presuntinho de Vidro,Хрустальный Бекон,クリスタルベーコン,Der Kristallspeck,Le Bacon de Cristal,El Tocino de Cristal,Krystalová slanina,수정 베이컨,De Kristallen Bacon,La Pancetta di Cristallo,,水晶培根,,Kryształowy Bekon,,,Krystall bacon,,,The Shiny Porkchop,בייקון הקריסטל,,Το Κρυστάλλινο Μπέϊκον,Thịt xông khói,Kristal Domuz Pastırması,اللحم البلوري,O Bacon De Cristal,Kristallipekoni,,Krištolė kiauliena
RELIC_CRYSTAL_LONG,Gain Health on Stage Clear,Ganhe Vida Ao Passar De Fase,Cura quando pasa de faze,Увеличивает здоровье при завершении уровня,Gain Health on Stage Clear,Gain Health on Stage Clear,Regagne de la vie une fois le niveau achevé,Obten vida al final de cada nivel,Navýší zdraví po dokončení úrovně,Gain Health on Stage Clear,Gain Health on Stage Clear,Gain Health on Stage Clear,Gain Health on Stage Clear,通关后获得血量,Gain Health on Stage Clear,Zdobywanie życia po przejściu poziomu,Gain Health on Stage Clear,Gain Health on Stage Clear,Gain Health on Stage Clear,Gain Health on Stage Clear,Gain Health on Stage Clear,Gain Health on Stage Clear,Gain Health on Stage Clear,Gain Health on Stage Clear,Κερδισε Υγεία στο καθάρισμα Πίστας,Gain Health on Stage Clear,Gain Health on Stage Clear,Gain Health on Stage Clear,Gain Health on Stage Clear,Gain Health on Stage Clear,,Gauk sveikatos po etepo perėjimo
RELIC_CRYSTAL_SHORT,Health regen,Regenera vida,Cura as vida,Восстановление здоровья,Health regen,Gesundheitsregeneration,Régénération de vie,Regeneración de vida,Regenerace zdraví,Health regen,Health regen,Health regen,Health regen,血量恢复,Health regen,Regenerazja życia,Health regen,Health regen,Health regen,Health regen,Health regen,Health regen,Health regen,Health regen,Αναζωογόνηση Υγείας,Health regen,Health regen,إستعادة الصحة,Health regen,Health regen,,Sveikatos atkurimas
RELIC_INFINITY_NAME,The Infinity Battery,A Bateria Infinita,Pilha Duracel,Бесконечная батарейка,むげんの バッテリー,Die endlose Batterie,La Batterie d'Infinité,La Batería Infinita,Pozoruhodná baterie,무한대 배터리,De Oneindige Batterij,La Batteria Infinita,,无限电池,,Nieskończona bateria,,,Uendelighets batteriet,,,The Infinite Power,הבטרייה האינסופית,,Η Μπαταρία του Απείρου,Cục Pin Vô Tận,Sonsuzluk Bataryası,بطارية لا تنتهي,A Bateria Infinita,Loputon patteri,,Nesibaigianti baterija
RELIC_INFINITY_LONG,+ Shield Regeneration,+ Regeneração de Escudo,'+ Recupera os escudinho,+ Регенерация Щита,+ シールド かいふくそくど,+ Schildregeneration,+ Régénération du Bouclier ,+ Regeneración de escudo,Regenerace štítu '+,+ 실드 회복속도,+ Schild Regeneratie,+ Rigenerazione Scudo,,+ 护盾回复,,+ Regenerowanie tarczy,,,+ Skjold regenerasjon,,,Recover From Dodging Faster,חידוש מגן '+,,+ Αναζωογόνηση Ασπίδας,Tăng tốc độ hồi Giáp,+ Zırh Yenileme,+ يستعيد الدرع,+ Regeneração do Escudo,+ Kilven palautuminen,,+ Skydo atstatymas
RELIC_INFINITY_SHORT,+Shield Regen,+Regen de Escudo,'+ Recupera os escudinho,+Реген Щита,+シールド さいせい,+ Schildregen,+ Bouclier regen.,+ Regen. de escudo,Regen štítu '+,+실드 회복,+ Schild Regen.,+Rigen. Scudo,,+护盾恢复,,+Regeneracja tarczy,+ Pajzs Regeneráció,,+ Skjold,,,Faster Dodge Regen,חידוש מגן '+,,+ Αναζωογόνηση Ασπίδας,Hồi Giáp,+ Zırh Doldurma,+ إستعادة الدرع,+ Regen do Escudo,,,+ Skydo atstatymas
RELIC_MIDNIGHT_NAME,The Midnight Beer,A Cerveja da Meia-Noite,Gato Preto Maloquero,Полуночное пиво,まよなかの ビール,Das Mitternachtsbier,La Bière de Minuit,La Cerveza de Medianoche,Půlnoční pivo,한밤의 맥주,Het Nachtelijke Biertje,La Birra di Mezzanotte,,午夜啤酒,,Piwo o Północy,,,Midnatts bjørnen,,,The Midnight Rum,בירת החצות,,Η Μεσονύχτια Μπύρα,Bia để qua đêm,Akşam Birası,المشروب الليلي,A Cerveja Da Meia-Noite,Keskiyön kalja,,Vidurnakčio alus
RELIC_MIDNIGHT_LONG,Extra Damage,Dano Extra,Porrada extra,Дополнительный Урон,ついか ダメージ,Extra Schaden,Dégats Extra,Daño extra,Extra poškození,추가 피해,Extra Schade,Danno Extra,,额外伤害,,Dodatkowe obrażenia,Extra Sebzés,,Ekstra skade,,,More Ouch,יותר נזק,,Επιπλέον Ζημιά,Tăng Sát Thương,Ekstra Hasar,ضرر إضافي,Dano Extra,Lisävahinkoa,,Papildoma Žala
RELIC_MIDNIGHT_SHORT,Extra Damage,Dano Extra,Porrada extra,Дополнительный Урон,ついか ダメージ,Extra Schaden,Dégats Extra,Daño extra,Extra poškození,추가 피해,Extra Schade,Danno Extra,,额外伤害,,Dodatkowe obrażenia,Extra Sebzés,,Ekstra skade,,,More Ouch,יותר נזק,,Επιπλέον Ζημιά,Tăng sát thương,Ekstra Hasar,ضرر إضافي,Dano Extra,,,Papildoma Žala
RELIC_WATCHFUL_NAME,The Watchful Eye,O Olho Que Tudo Vê,Zoião Cabuloso,Всевидящее око,かんさつがん,Das wachsame Auge,L'Oeil Vigilant,El Ojo Vigilante,Vševidoucí oko,관찰의 눈,Het Uitkijkende Oog,L'Occhio Vigile,,警醒之眼,,Czujne Oko,,,Det vake øyet,,,The All-Seeing-Eye,העין הצופה,,Το Άγρυπνο Μάτι,Con Mắt lanh lẹ,Uyanık Göz,العين الساهرة,O Olho Que Vê Tudo,Tarkkaileva silmä,,Visą matanti akis
RELIC_WATCHFUL_LONG,Extra Ammo,Munição Extra,Mas bala,Дополнительные Патроны,よび だんやく,Extra Munition,Munition Extra,Munición extra,Extra munice,추가 탄약,Extra Munitie,Munizioni Extra,,额外弹药,,Dodatkowa amunicja,Extra Llőszer,,Ekstra ammo,,,More Shots,יותר תחמושת,,Επιπλέον Πυρομαχικά,Tăng giới hạn Đạn,Ekstra Cephane,ذخيرة إضافية,Munição Extra,Lisäammuksia,,Papildomos kulkos
RELIC_WATCHFUL_SHORT,Extra Ammo,Munição Extra,Mas bala,Дополнительные Патроны,よび だんやく,Extra Munition,Munition Extra,Munición extra,Extra munice,추가 탄약,Extra Munitie,Extra Muniz.,,额外弹药,,Dodatkowa amunicja,Extra Llőszer,,Ekstra ammo,,,More Shots,יותר תחמושת,,Επιπλέον Πυρομαχικά,Tăng Đạn,Ekstra Cephane,ذخيرة إضافية,Munição Extra,Lisäammuksia,,Papildomos kulkos
RELIC_DEV_NAME,The Dev Potion,A Poção da Programação,Café Pilão,Зелье разработчика,かいはつしゃの ポーション,Der Developer-Trank,La Potion des Dev,La Poción del Desarrollador,Devův lektvar,개발자 포션,Het Dev Drankje,La Pozione dello Sviluppatore,,恶魔之水,,Mikstura Programisty,,,Utviklerens saft,,,The Dev Drink,שיקוי המפתח,,Το Φίλτρο του Κατασκευαστή,Thuốc quỷ,Yapımcı İksiri,شراب المبرمج,A Poção Da Programação,Pelisuunnittelijajuoma,,Programuotojo stebuklingas gėrimas
RELIC_DEV_LONG,Regenerates Ammo,Regenera munição,recupera as bala,Регенерирует Патроны,だんやくを さいせいせい,Regeneriert Munition,Régénère Munition,Regenera munición,Regenerace munice,탄약 재생성,Regenereert Munitie,Rigenera Munizioni,,弹药回复,,Regeneracja amunicji,Tőltény Regeneráció,,Ammo regenerasjon,,,Regen Shots,מחדש תחמושת,,Ανανεώνει τα Πυρομαχικά,Hồi đạn theo thời gian,Cephaneyi Yeniler,يجدد الذخيرة,Regeneração de Munição,Ammukset palautuvaat,,Atkuria kulkas
RELIC_DEV_SHORT,Ammo Regen,Regen munição,Regen munição,Реген Патронов,だんやく さいせい,Regen. Munition,Munition regen.,Regen. munición,Regen munice,탄약 생성,Munitie Regen.,Rigen. Muniz.,,弹药恢复,,Regeneracja amunicji,,,Ammo regenerering,,,Regen Shots,חידוש תחמושת,,Ανανέωση Πυρομαχικών,Hồi đạn,Cephane Doldurma,تجديد ذخيرة,Regen de Munição,Ammuspalautus,,Kulkų atkurimas
RELIC_YOTTABYTE_NAME,The Yottabyte Drive,O Drive de Yottabyte,O Pendriver,Йоттабайтовый диск,ヨタバイトの ドライブ,Das Yottabyte-Laufwerk,Le lecteur Yottaoctect,El Pendrive Yottabyte,Yotabytový disk,요타바이트 드라이브,De Yottabyte Schijf,Il Disco Yottabyte,,尧字节驱动,,Jottabajtowy sterownik,,,Yottabyte driveren,,,The Yottabyte Stick,כונן היוטה בייט,,Το Ι-μπάϊτ Φλασάκι,Ổ cứng Yottabye,Yottabyte Sürücüsü,ذاكرة يوتابايت,O Drive de Yottabyte,Yottabyteajuri,,Septilijono atmintinė
RELIC_YOTTABYTE_LONG,Extra Shield,Escudo Dobrado,dorba o escudinho,Двойной Щит,ダブル シールド,Doppelschild,Double bouclier,Escudo extra,Dvojitý štít,보호막 두 배,Dubbel Schild,Doppio Scudo,,双重护盾,,Podwójna tarcza,DUPLA PAJZS,,Dobbelt skjold,,,Double Dodge,מגן כפול,,Διπλή Ασπίδα,Tăng hai lần Áo Giáp,Çift Kalkan,حماية مضاعفة,Escudo Duplo,Tuplaantunut kilpi,,Papildomas skydas
RELIC_YOTTABYTE_SHORT,Extra Shield,Escudo Extra,dorba o escudinho,Дополнительный Щит,ついか シールド,Extra Schild,Bouclier extra,Escudo extra,Extra štit,추가 보호막,Extra Schild,Extra Scudo,,额外护盾,,Dodatkowa tarcza,Extra Pajzs,,Dobbelt skjold,,,Double Dodge,יותר מגן,,Επιπλέον Ασπίδα,Giáp nhân đôi,Ekstra Kalkan,حماية إضافية,Escudo Extra,Lisäkilpeä,,Papildomas skydas
RELIC_MORNINGSTAR_NAME,The Morning Star,A Estrela da Manhã,A Estrela de Piccel,The Morning Star,The Morning Star,Der Morgenstern,L'étoile du matin,La Estrella del Alba,Raní hvězda,The Morning Star,De Morgenster,The Morning Star,The Morning Star,启明星,The Morning Star,Poranna Gwiazda,The Morning Star,The Morning Star,The Morning Star,The Morning Star,The Morning Star,The Morning Star,The Morning Star,The Morning Star,Ο Αυγερινός,The Morning Star,The Morning Star,نجمة الصباح,The Morning Star,The Morning Star,,Rytinė žvaigždė
RELIC_MORNINGSTAR_LONG,Extra Bounty,Mais estrelas,Fik rico kkk,Extra Bounty,Extra Bounty,Extra Kopfgeld,Extra butin,Botín extra,Extra odměna,Extra Bounty,Extra Premie,Extra Bounty,Extra Bounty,额外赏金,Extra Bounty,Dodatkowe gwiazdy,Extra Bounty,Extra Bounty,Extra Bounty,Extra Bounty,Extra Bounty,Extra Bounty,Extra Bounty,Extra Bounty,Επιπλέον Αμοιβή,Extra Bounty,Extra Bounty,نقاط إضافية,Extra Bounty,Extra Bounty,,Papildoma premija
RELIC_MORNINGSTAR_SHORT,Extra Bounty,Mais estrelas,Fik rico,Extra Bounty,Extra Bounty,Extra Kopfgeld,Extra butin,Botín extra,Extra odměna,Extra Bounty,Extra Premie,Extra Bounty,Extra Bounty,额外赏金,Extra Bounty,Dodatkowe gwiazdy,Extra Bounty,Extra Bounty,Extra Bounty,Extra Bounty,Extra Bounty,Extra Bounty,Extra Bounty,Extra Bounty,Επιπλέον Αμοιβή,Extra Bounty,Extra Bounty,نقاط إضافية,Extra Bounty,Extra Bounty,,Papildoma premija
RELIC_PINEAPPLEPIE_NAME,The Pineapple Pie,A Torta de Abacaxi,Torta de Supermercado,The Pineapple Pie,The Pineapple Pie,Der Ananaskuchen,La tarte à l'Ananas,El Pastel de Ananá,Ananasový dort,The Pineapple Pie,De Annanastaart,The Pineapple Pie,The Pineapple Pie,菠萝派,The Pineapple Pie,Ananasowy Tort,The Pineapple Pie,The Pineapple Pie,The Pineapple Pie,The Pineapple Pie,The Pineapple Pie,The Pineapple Pie,The Pineapple Pie,The Pineapple Pie,Η Πίτα Ανανά,The Pineapple Pie,The Pineapple Pie,وجبة الأناناس,The Pineapple Pie,The Pineapple Pie,,Ananasų pyragas
RELIC_PINEAPPLEPIE_LONG,+ Maximum Health,Mais vida,Mais sangue,Extra health,Extra health,Extra Gesundheit, + de vie maximale,+ Vida máxima,Maximální zdraví+,Extra health,Extra levens,Extra health,Extra health,+ 额外血量,Extra health,Dodatkowe życie,Extra health,Extra health,Extra health,Extra health,Extra health,Extra health,Extra health,Extra health,+ Μέγιστη Υγεία,Extra health,Extra health,صحة إضافية,Extra health,Extra health,,Papildoma sveikata
RELIC_PINEAPPLEPIE_SHORT,Extra health,Mais vida,Mais sangue,Extra health,Extra health,Extra Gesundheit,Extra vie,Vida extra,Extra zdraví,Extra health,Extra health,Extra health,Extra health,额外血量,Extra health,Dodatkowe życie,Extra health,Extra health,Extra health,Extra health,Extra health,Extra health,Extra health,Extra health,Επιπλέον Υγεία,Extra health,Extra health,صحة إضافية,Extra health,Extra health,,Papildoma sveikata
RELIC_RABBITFOOT_NAME,The Rabbit Foot,O Pé De Coelho,Bicho do Pé,The Rabbit Foot,The Rabbit Foot,Der Hasenfuß,La patte de lapin,La Pata de Conejo,Králičí packa,The Rabbit Foot,The Rabbit Foot,The Rabbit Foot,The Rabbit Foot,幸运兔腿,The Rabbit Foot,Stopa Królika,The Rabbit Foot,The Rabbit Foot,The Rabbit Foot,The Rabbit Foot,The Rabbit Foot,The Rabbit Foot,The Rabbit Foot,The Rabbit Foot,Το Λαγοπόδαρο,The Rabbit Foot,The Rabbit Foot,قدم الأرب,The Rabbit Foot,The Rabbit Foot,,Kiškio letenėlė
RELIC_RABBITFOOT_LONG,For luck.,Dá sorte.,deve da sorte sei la,For luck.,For luck.,Für Glück.,Pour la chance.,Para la suerte.,Pro štěstí,For luck.,For luck.,For luck.,For luck.,祈求好运,For luck.,Na szczęście.,For luck.,For luck.,For luck.,For luck.,For luck.,For luck.,For luck.,For luck.,Για Τύχη.,For luck.,For luck.,من أجل الحظ.,For luck.,For luck.,,Sėkmei
RELIC_RABBITFOOT_SHORT,For luck,Dá sorte,sei la q isso faz,For luck,For luck,Für Glück.,Pour la chance.,Para la suerte,Pro štěstí,For luck,For luck,For luck,For luck,祈求好运,For luck,Na szczęście,For luck,For luck,For luck,For luck,For luck,For luck,For luck,For luck,Για Τύχη.,For luck,For luck,من أجل الحظ,For luck,For luck,,Sėkmei
RELIC_MIDNIGHTMEAL_NAME,The Midnight Meal,A Refeição da Meia-Noite,Big Mequi,The Midnight Meal,The Midnight Meal,Das Mitternachtsmahl,Le repas de minuit,La Comida de Medianoche,Půlnoční jídlo,The Midnight Meal,The Midnight Meal,The Midnight Meal,The Midnight Meal,The Midnight Meal,The Midnight Meal,Przekąska o Północy,The Midnight Meal,The Midnight Meal,The Midnight Meal,The Midnight Meal,The Midnight Meal,The Midnight Meal,The Midnight Meal,The Midnight Meal,Το Μεσονύχτιο Γεύμα,The Midnight Meal,The Midnight Meal,الوجبة المسائية,The Midnight Meal,The Midnight Meal,,Vidurnakčio valgis
RELIC_MIDNIGHTMEAL_LONG,Extra damage,Dano extra,Mais dano e gases,Extra damage,Extra damage,Extra Schaden,Extra dommages,Daño extra,Extra poškození,Extra damage,Extra damage,Extra damage,Extra damage,额外伤害,Extra damage,Dodatkowe obrażenia,Extra damage,Extra damage,Extra damage,Extra damage,Extra damage,Extra damage,Extra damage,Extra damage,Επιπλέον Ζημιά,Extra damage,Extra damage,ضرر إضافي,Extra damage,Extra damage,,Papildoma žala
RELIC_MIDNIGHTMEAL_SHORT,Extra damage,Dano extra,Mais dano,Extra damage,Extra damage,Extra Schaden,Extra dommages,Daño extra,Extra poškození,Extra damage,Extra damage,Extra damage,Extra damage,额外伤害,Extra damage,Dodatkowe obrażenia,Extra damage,Extra damage,Extra damage,Extra damage,Extra damage,Extra damage,Extra damage,Extra damage,Επιπλέον Ζημιά,Extra damage,Extra damage,ضرر إضافي,Extra damage,Extra damage,,Papildoma žala
RELIC_PROCESSOR_NAME,The Yottabyte Processor,O Processador de Yottabyte,Otro Pendriver,The Yottabyte Processor,The Yottabyte Processor,Der Yottabyte Prozessor,Le processeur Yottabyte,El Procesador Yottabyte,Yottabytový procesor,The Yottabyte Processor,The Yottabyte Processor,The Yottabyte Processor,The Yottabyte Processor,The Yottabyte Processor,The Yottabyte Processor,Jottabajtowy Procesor,The Yottabyte Processor,The Yottabyte Processor,The Yottabyte Processor,The Yottabyte Processor,The Yottabyte Processor,The Yottabyte Processor,The Yottabyte Processor,The Yottabyte Processor,Ο Ι-μπάϊτ Επεξεργαστής,The Yottabyte Processor,The Yottabyte Processor,معالج اليوتابايت,The Yottabyte Processor,The Yottabyte Processor,,Septilijoninis procesorius
